quine	time	sincelast
395	202475.899	119.969
396	203683.975	1208.076
397	210331.393	6647.418
398	210717.215	385.822
399	211781.407	1064.192
400	213282.328	1500.921
401	216466.415	3184.087
402	222846.605	6380.19
403	224918.432	2071.827
404	225773.755	855.323
405	226275.795	502.04
406	231001.286	4725.491
407	234481.153	3479.867
408	234648.547	167.394
409	236899.218	2250.671
410	237353.237	454.019
411	238482.431	1129.194
412	244821.705	6339.274
413	252129.877	7308.172
414	253789.385	1659.508
415	253831.508	42.123
416	254307.1	475.592
417	254775.908	468.808
418	254861.307	85.399
419	255294.002	432.695
420	256104.614	810.612
421	257500.062	1395.448
422	257557.847	57.785
423	257696.891	139.044
424	259139.602	1442.711
425	266805.755	7666.153
426	267282.034	476.279
427	268507.566	1225.532
428	275303.152	6795.586
429	278634.156	3331.004
430	282430.356	3796.2
431	283625.591	1195.2350000000001
432	283734.186	108.595
433	284812.536	1078.35
434	285311.711	499.175
435	290757.272	5445.561
436	294121.015	3363.743
437	294736.402	615.387
438	294920.404	184.002
439	297601.151	2680.747
440	299399.234	1798.083
441	300735.096	1335.862
442	303663.36	2928.264
443	304156.647	493.287
444	306634.54000000004	2477.893
445	307750.526	1115.986
446	317000.283	9249.757
447	318094.387	1094.104
448	318631.719	537.332
449	321213.048	2581.329
450	321450.54000000004	237.492
451	324438.867	2988.327
452	331872.56	7433.693
453	332410.78	538.22
454	332517.177	106.397
455	333838.189	1321.012
456	337210.085	3371.896
457	341586.628	4376.543
458	350013.767	8427.139
459	352657.573	2643.806
460	353971.228	1313.655
461	354525.187	553.959
462	359615.415	5090.228
463	362087.708	2472.293
464	365851.378	3763.67
465	366126.633	275.255
466	369436.811	3310.178
467	370047.428	610.617
468	370668.925	621.497
469	371631.87	962.945
470	373261.118	1629.248
471	375661.786	2400.668
472	377823.398	2161.612
473	379317.447	1494.049
474	379425.641	108.194
475	380458.305	1032.664
476	390081.124	9622.819
477	392460.315	2379.191
478	392832.643	372.328
479	392857.976	25.333
480	393449.785	591.809
481	394170.402	720.617
482	394815.425	645.023
483	395705.89	890.465
484	395806.494	100.604
485	396362.029	555.5350000000001
486	397260.104	898.075
487	397804.738	544.634
488	397924.64	119.902
489	398068.946	144.306
490	398142.974	74.028
491	398165.603	22.629
492	398790.094	624.491
493	398828.981	38.887
494	399232.254	403.273
495	399242.465	10.211
496	399301.4	58.935
497	399920.082	618.682
498	400074.795	154.713
499	402700.171	2625.376
500	402797.335	97.164
501	403859.388	1062.053
502	404120.579	261.19100000000003
503	404135.294	14.715
504	404201.587	66.293
505	408772.849	4571.262
506	410158.045	1385.196
507	410414.018	255.973
508	411077.077	663.059
509	412663.382	1586.305
510	412704.477	41.095
511	419596.971	6892.494
512	422009.612	2412.641
513	426037.605	4027.993
514	427597.9	1560.295
515	433060.999	5463.099
516	435472.472	2411.473
517	437000.113	1527.641
518	437059.974	59.861
519	437592.797	532.823
520	443935.091	6342.294
521	444616.851	681.76
522	444764.087	147.236
523	445214.052	449.965
524	446996.308	1782.256
525	449287.994	2291.686
526	450146.867	858.873
527	450378.97	232.103
528	450380.832	1.862
529	450400.533	19.701
530	452084.09	1683.557
531	452124.744	40.654
532	453985.2	1860.456
533	454628.307	643.107
534	454777.309	149.002
