quine	time	sincelast
401	232726.828	3407.227
402	239567.897	6841.069
403	241688.925	2121.028
404	242682.013	993.088
405	243131.568	449.555
406	248227.801	5096.233
407	251931.278	3703.477
408	252114.649	183.371
409	254518.742	2404.093
410	255014.301	495.559
411	256200.011	1185.71
412	263022.767	6822.756
413	270893.614	7870.847
414	272672.714	1779.1
415	272717.17000000004	44.456
416	273239.825	522.655
417	273752.254	512.429
418	273847.13	94.876
419	274321.155	474.025
420	275197.681	876.526
421	276701.91000000003	1504.229
422	276765.997	64.087
423	276932.863	166.866
424	278492.418	1559.555
425	286740.405	8247.987000000001
426	287265.987	525.582
427	288577.059	1311.072
428	296268.32999999996	7691.271
429	299770.442	3502.112
430	303833.718	4063.276
431	305115.923	1282.205
432	305236.4	120.477
433	306380.76	1144.3600000000001
434	306910.587	529.827
435	312878.748	5968.161
436	316513.862	3635.114
437	317186.437	672.575
438	317388.717	202.28
439	320247.996	2859.279
440	322374.657	2126.661
441	323803.638	1428.981
442	326952.66500000004	3149.027
443	327511.001	558.336
444	330188.158	2677.157
445	331414.513	1226.355
446	341537.831	10123.318
447	342743.551	1205.72
448	343340.736	597.185
449	346076.072	2735.336
450	346336.885	260.813
451	349652.167	3315.282
452	357536.438	7884.271
453	358129.547	593.109
454	358249.888	120.341
455	359667.876	1417.988
456	363494.58	3826.704
457	368203.828	4709.248
458	377420.621	9216.793
459	380330.163	2909.542
460	381764.236	1434.073
461	382356.939	592.703
462	387564.717	5207.778
463	390352.813	2788.096
464	394297.656	3944.843
465	394576.57	278.914
466	397884.225	3307.655
467	398540.393	656.168
468	399230.807	690.414
469	400245.215	1014.408
470	403772.981	3527.766
471	404660.044	887.063
472	406775.893	2115.849
473	408277.128	1501.235
474	408384.12	106.992
475	409442.716	1058.596
476	419584.534	10141.818
477	422056.32	2471.786
478	422462.997	406.677
479	422489.82	26.823
480	423109.832	620.012
481	423864.573	754.741
482	424555.774	691.201
483	425500.109	944.335
484	425614.496	114.387
485	426215.289	600.793
486	427155.59	940.301
487	427747.554	591.964
488	427878.39	130.836
489	428033.494	155.104
490	428114.259	80.765
491	428139.789	25.53
492	428816.173	676.384
493	428857.766	41.593
494	429305.575	447.809
495	429316.334	10.759
496	429381.047	64.713
497	430034.35	653.303
498	430208.56	174.21
499	433063.385	2854.825
500	433168.37	104.985
501	434238.413	1070.043
502	434513.589	275.176
503	434530.203	16.614
504	434607.492	77.289
505	439485.272	4877.780000000001
506	440968.255	1482.983
507	441261.021	292.766
508	441982.804	721.783
509	443657.289	1674.485
510	443701.14	43.851
511	451034.286	7333.146
512	453406.112	2371.826
513	457214.473	3808.361
514	458818.778	1604.305
515	464647.743	5828.965
516	467150.064	2502.321
517	468740.327	1590.263
518	468806.032	65.705
519	469374.195	568.163
520	476235.63	6861.435
521	476961.419	725.789
522	477119.491	158.072
523	477602.496	483.005
524	479512.52	1910.024
525	481958.382	2445.862
526	482893.898	935.516
527	483148.09	254.192
528	483150.669	2.579
529	483177.704	27.035
530	484954.798	1777.094
531	484999.871	45.073
532	487031.84	2031.969
533	487744.497	712.657
534	487909.096	164.599
535	491532.891	3623.795
536	491964.663	431.772
537	495764.835	3800.172
538	496536.085	771.25
539	496548.139	12.054
540	500030.425	3482.286
541	500977.832	947.407
542	501375.462	397.63
