quine	time	sincelast
345	7694357.562	17110.539
346	7777542.967	83185.405
347	7815082.361	37539.394
348	8057755.471	242673.11
349	8435612.805	377857.334
350	8507548.169	71935.364
351	8875170.564	367622.395
352	9128505.913	253335.349
353	9170487.184999999	41981.272
354	9328466.978	157979.793
355	9364046.032	35579.054
356	9374462.589	10416.557
357	9427340.224	52877.635
358	9519326.886	91986.662
359	9570217.121	50890.235
360	9589330.988	19113.867
361	9594912.317	5581.329
362	9631796.203	36883.886
363	9636390.423	4594.219999999999
364	9641023.473	4633.05
365	9650705.142	9681.669
366	9665369.440000001	14664.298
367	9685200.855	19831.415
368	9725921.422	40720.567
369	9744759.924	18838.502
370	9754815.030000001	10055.106
371	9788488.364	33673.334
372	9814817.986	26329.622
373	10000259.396	185441.41
374	10055024.537	54765.141
375	10181022.323	125997.786
376	10241454.448	60432.125
377	10271010.96	29556.512
378	10273284.467	2273.507
379	10369481.016	96196.549
380	10440597.175	71116.159
381	10514164.821	73567.646
382	10539779.519	25614.698
383	10542278.337	2498.818
384	10581901.573	39623.236
385	10755949.554	174047.981
386	10797761.11	41811.556
387	10813369.084	15607.974
388	10881561.479	68192.39499999999
389	10979350.321	97788.842
390	11089635.716	110285.395
391	11483348.823	393713.107
392	11654035.678	170686.855
393	11654081.083	45.405
394	11775817.07	121735.987
395	11835133.864	59316.794
396	11836822.119	1688.255
397	11872744.853	35922.734
398	11875983.873	3239.02
399	11900347.726	24363.853
400	11925624.405	25276.679
401	11940593.7	14969.295
402	12133303.366	192709.666
403	12157655.828	24352.462
404	12218126.093	60470.265
405	12329095.495	110969.402
406	12356883.271	27787.776
407	12475914.477	119031.206
408	12479590.252	3675.775
409	12501081.658	21491.406
410	12573985.163	72903.505
411	12629833.456	55848.293
412	12668479.027	38645.571
413	12708735.822	40256.795
414	12725265.336	16529.514
415	12728865.538	3600.202
416	12736866.853	8001.315
417	12780626.179	43759.326
418	12790362.68	9736.501
419	12793120.892	2758.212
420	12842140.127	49019.235
421	12952376.539	110236.412
422	12971152.858	18776.319
423	12980984.747	9831.889
424	13023855.901	42871.154
425	13061890.506	38034.604999999996
426	13149274.435	87383.929
427	13183443.795	34169.36
428	13185085.685	1641.89
429	13191461.231	6375.546
430	13237212.802	45751.571
431	13240801.283	3588.481
432	13243961.44	3160.157
433	13245246.88	1285.44
434	13267597.722	22350.842
435	13300055.614	32457.892
436	13322469.959	22414.345
437	13328865.818	6395.859
438	13396246.152	67380.334
439	13408501.704	12255.552
440	13421530.518	13028.814
441	13450388.864	28858.346
442	13521729.221	71340.357
443	13544395.061	22665.84
444	13725196.318	180801.257
445	13857519.463	132323.14500000002
446	13952906.068	95386.605
447	13980331.768	27425.7
448	14005140.148	24808.38
449	14114432.048	109291.9
450	14126133.489	11701.441
451	14155759.082	29625.593
452	14225305.237	69546.155
453	14241155.075	15849.838
454	14261822.119	20667.044
455	14272510.725	10688.606
456	14412252.749	139742.024
457	14428554.015	16301.266
458	14588720.144	160166.129
459	14626362.856	37642.712
460	14717875.916	91513.06
461	14804814.529	86938.613
462	14810865.367	6050.838
463	14898526.947	87661.58
464	14922162.978	23636.031
465	14957853.669	35690.691
466	14987376.751	29523.082
467	14997751.285	10374.534
468	15116100.832	118349.547
469	15136369.086	20268.254
470	15269721.243	133352.157
471	15355652.911	85931.668
472	15464786.239	109133.328
473	15571673.96	106887.721
474	15670855.513	99181.553
